,Urun,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
147,Oppo A55 (128 GB),6.51 İnç,128 GB,4 GB,50puan,5000 mAh,Tek Hat,Var,50 MP,Var,60 Hz,Android,Var,"5.499,00"
148,Samsung Galaxy S7 (Tek Hat) (SM-G930F),5.1 İnç,32 GB,4 GB,50puan,3000 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
149,Infinix Hot 12 (6 GB),6.82 İnç,128 GB,6 GB,50puan,5000 mAh,Çift Hat,Var,13 MP,Var,90 Hz,Android,Yok,"4.985,00"
150,realme 3 Pro (6 GB / 128 GB),6.3 İnç,128 GB,6 GB,50puan,4045 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,
151,Xiaomi Redmi Note 7 (128 GB / 4 GB),6.3 İnç,128 GB,4 GB,50puan,4000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,
152,Vestel Venus Z40,6.4 İnç,128 GB,4 GB,50puan,3500 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,"8.000,00"
153,Samsung Galaxy S7 Duos (Çift Hat) (SM-G930FD),5.1 İnç,32 GB,4 GB,50puan,3000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
154,Tecno Camon 16,6.8 İnç,128 GB,6 GB,50puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,"5.175,00"
155,Xiaomi Mi Note 3 (128 GB),5.5 İnç,128 GB,6 GB,50puan,3500 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
156,Xiaomi Mi Note 2 (128 GB),5.7 İnç,128 GB,6 GB,50puan,4070 mAh,Çift Hat,Var,22.56 MP,Var,60 Hz,Android,Var,
157,realme 6i (RMX2040),6.5 İnç,128 GB,4 GB,50puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,"5.977,02"
158,Redmi Note 8 (2021),6.3 İnç,64 GB,4 GB,50puan,4000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,
159,Huawei P Smart S (AQM-LX1),6.3 İnç,128 GB,4 GB,50puan,4000 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,Var,"6.849,00"
160,OnePlus 3T (128 GB),5.5 İnç,128 GB,6 GB,50puan,3400 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
161,Samsung Galaxy M13 (128 GB),6.6 İnç,128 GB,4 GB,50puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"5.341,33"
162,Apple iPhone 8 (PRODUCT)RED Special Edition (MRRM2TU/A),4.7 İnç,64 GB,2 GB,50puan,1821 mAh,Tek Hat,Var,12 MP,Var,60 Hz,iOS,Var,"6.499,00"
163,"Apple iPhone 8 (64 GB) (MQ6G2TU/A, MQ6H2TU/A, MQ6J2TU/A)",4.7 İnç,64 GB,2 GB,50puan,1821 mAh,Tek Hat,Var,12 MP,Var,60 Hz,iOS,Var,"15.839,00"
164,realme C25 (RMX3191),6.5 İnç,64 GB,4 GB,50puan,6000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,"4.999,00"
165,Vivo Y21s,6.51 İnç,128 GB,4 GB,49puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"4.750,00"
166,Huawei Y7a,6.67 İnç,128 GB,4 GB,49puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,
167,Huawei P Smart Pro (STK-L21),6.59 İnç,128 GB,6 GB,49puan,4000 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,,
168,LG G6 (Çift Hat) (H870DS),5.7 İnç,32 GB,4 GB,49puan,3300 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Var,
169,LG G6 (H870),5.7 İnç,32 GB,4 GB,49puan,3300 mAh,Tek Hat,Var,13 MP,Var,60 Hz,Android,Var,
170,Asus ZenFone Zoom S (ZE553KL),5.5 İnç,64 GB,4 GB,49puan,5000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
171,OnePlus 5 (64 GB),5.5 İnç,64 GB,6 GB,49puan,3300 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
172,Samsung Galaxy A13 (SM-A135F),6.6 İnç,64 GB,4 GB,49puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"4.679,90"
173,Meizu 16 (64 GB),6.0 İnç,64 GB,6 GB,49puan,3100 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
174,Samsung Galaxy A21s (128 GB),6.5 İnç,128 GB,4 GB,49puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"11.999,00"
175,Honor 10 (COL-L29),5.84 İnç,128 GB,4 GB,49puan,3400 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
176,Samsung Galaxy M12 (128 GB),6.5 İnç,128 GB,4 GB,49puan,5000 mAh,Çift Hat,Var,48 MP,Var,90 Hz,Android,Yok,"5.549,00"
177,General Mobile GM 20 Pro (Çift Hat) (G501 d),6.3 İnç,128 GB,6 GB,49puan,4050 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,"6.499,00"
178,General Mobile GM 20 Pro (G501),6.3 İnç,128 GB,6 GB,49puan,4050 mAh,Tek Hat,Var,48 MP,Var,60 Hz,Android,Yok,"5.989,00"
179,Omix X400 (128 GB / 4 GB),6.53 İnç,128 GB,4 GB,49puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Yok,"4.158,99"
180,Umidigi Z2 Pro,6.2 İnç,128 GB,6 GB,49puan,3550 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
181,Xiaomi Mi 6 (64 GB / 4 GB),5.15 İnç,64 GB,4 GB,49puan,3350 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
182,TCL 10L (T770H),6.53 İnç,64 GB,6 GB,49puan,4000 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,Var,
183,Infinix Hot 12 (4 GB) (X6817),6.82 İnç,128 GB,4 GB,49puan,5000 mAh,Çift Hat,Var,13 MP,Var,90 Hz,Android,Yok,"4.595,00"
