,Urun,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
256,Infinix Hot 10 (128 GB) (X682C),6.78 İnç,128 GB,4 GB,46puan,5200 mAh,Çift Hat,Yok,16 MP,Var,60 Hz,Android,Yok,
257,Xiaomi Redmi 9,6.53 İnç,32 GB,3 GB,46puan,5020 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"3.999,00"
258,Nokia 7 Plus (TA-1055),6.0 İnç,64 GB,4 GB,46puan,3800 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
259,Doogee S60,5.2 İnç,64 GB,6 GB,46puan,5580 mAh,Çift Hat,Yok,21 MP,Var,60 Hz,Android,Var,
260,Tecno Camon 15 Premier,6.6 İnç,128 GB,6 GB,46puan,4000 mAh,,Yok,64 MP,Var,60 Hz,Android,Yok,
261,Meizu X8 (128 GB),6.15 İnç,128 GB,6 GB,46puan,3210 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
262,Lenovo Moto Z (XT1650),5.5 İnç,32 GB,4 GB,46puan,2600 mAh,Tek Hat,Var,13 MP,Var,60 Hz,Android,Var,
263,Sony Xperia Z5 Premium Dual (Çift Hat) (E6833),5.5 İnç,32 GB,3 GB,46puan,3430 mAh,Çift Hat,Var,23 MP,Dynamic Contrast Enhancer,60 Hz,Android,Var,
264,Samsung Galaxy A04s (64 GB) (SM-A047F),6.5 İnç,64 GB,4 GB,46puan,5000 mAh,Çift Hat,Var,50 MP,Var,90 Hz,Android,Yok,"4.409,02"
265,Sony Xperia Z5 Premium (E6853),5.5 İnç,32 GB,3 GB,46puan,3430 mAh,Tek Hat,Var,23 MP,Dynamic Contrast Enhancer,60 Hz,Android,Var,
266,Samsung Galaxy C9 Pro (SM-C9000),6.0 İnç,64 GB,6 GB,45puan,4000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
267,BlackBerry KEY2 Red Edition,4.5 İnç,128 GB,6 GB,45puan,3500 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
268,LG K61 (LMQ630),6.53 İnç,128 GB,4 GB,45puan,4000 mAh,,Yok,48 MP,Var,60 Hz,Android,Var,
269,Xiaomi Redmi Note 7 (32 GB / 3 GB),6.3 İnç,32 GB,3 GB,45puan,4000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,
270,Samsung Galaxy A7 (2018) (128 GB / Çift Hat) (SM-A750F/DS),6.0 İnç,128 GB,4 GB,45puan,3300 mAh,Çift Hat,Yok,24 MP,Var,60 Hz,Android,,
271,Xiaomi Mi 5s Plus (128 GB),5.7 İnç,128 GB,6 GB,45puan,3800 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Var,
272,Poco C40 (64 GB),6.71 İnç,64 GB,4 GB,45puan,6000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"3.695,20"
273,Huawei Mate 20 Lite (Çift Hat),6.3 İnç,64 GB,4 GB,45puan,3750 mAh,Çift Hat,Var,20 MP,Var,60 Hz,Android,,
274,Infinix Hot 10T,6.82 İnç,64 GB,4 GB,45puan,5000 mAh,Çift Hat,Yok,48 MP,Var,90 Hz,Android,Yok,"3.920,00"
275,TCL 30 SE (64 GB) (6165H),6.52 İnç,64 GB,4 GB,45puan,5000 mAh,Çift Hat,Var,50 MP,Var,60 Hz,Android,Var,"4.895,00"
276,Xiaomi Mi MIX,6.4 İnç,128 GB,4 GB,45puan,4400 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
277,TCL 10 SE (T766H),6.52 İnç,128 GB,4 GB,45puan,4000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Var,"4.499,00"
278,Oppo RX17 Neo (CPH1893),6.41 İnç,128 GB,4 GB,45puan,3600 mAh,Tek Hat,Yok,16 MP,Var,60 Hz,Android,Yok,
279,realme 5i (RMX2030),6.5 İnç,64 GB,4 GB,45puan,5000 mAh,Çift Hat,Yok,12 MP,Var,60 Hz,Android,Yok,
280,HTC 10 evo (64 GB),5.5 İnç,64 GB,3 GB,45puan,3200 mAh,,Var,16 MP,Var,60 Hz,Android,Var,
281,Huawei Y9 Prime 2019 (STK-L21),6.59 İnç,128 GB,4 GB,45puan,4000 mAh,Çift Hat,Yok,16 MP,Var,60 Hz,Android,Yok,"6.369,02"
282,Blackview BV6800 Pro,5.7 İnç,64 GB,4 GB,45puan,6580 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
283,Meizu Note 9,6.2 İnç,64 GB,4 GB,45puan,4000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,
284,Samsung Galaxy Note 5 (64 GB / Tek Hat) (SM-N920),5.7 İnç,64 GB,4 GB,45puan,3000 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
285,Samsung Galaxy A30 (Çift Hat),6.4 İnç,64 GB,4 GB,45puan,4000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,"3.699,00"
286,Samsung Galaxy A30 (SM-A305F),6.4 İnç,64 GB,4 GB,45puan,4000 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Yok,
287,Xiaomi Mi A2 (128 GB),5.99 İnç,128 GB,6 GB,45puan,3010 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
288,Samsung Galaxy A12 (SM-A125F),6.5 İnç,64 GB,4 GB,45puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,"4.975,00"
289,realme C15 (RMX2180),6.5 İnç,64 GB,4 GB,45puan,6000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"4.899,00"
290,Samsung Galaxy M30 (32 GB),6.4 İnç,32 GB,3 GB,45puan,5000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,
291,Xiaomi Mi MIX 2 (64 GB),5.99 İnç,64 GB,6 GB,45puan,3400 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,"6.999,00"
292,Xiaomi Mi Max 2 (128 GB),6.44 İnç,128 GB,4 GB,45puan,5300 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
293,Asus ZenFone 4 (ZE554KL),5.5 İnç,64 GB,4 GB,45puan,3300 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,,
294,Honor 20 Lite (HRY-LX1T),6.21 İnç,128 GB,4 GB,45puan,3400 mAh,Çift Hat,Yok,24 MP,Var,60 Hz,Android,Var,
295,Tecno Spark 6 (KE7),6.8 İnç,128 GB,4 GB,44puan,5000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,"3.919,02"
296,Infinix Note 7 Lite (X656),6.6 İnç,128 GB,4 GB,44puan,5000 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,Yok,
297,Tecno Spark 9T,6.6 İnç,128 GB,4 GB,44puan,5000 mAh,Çift Hat,Yok,13 MP,Var,90 Hz,Android,Yok,"4.135,49"
298,Xiaomi Mi 8 Lite,6.26 İnç,64 GB,4 GB,44puan,3350 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
299,Apple iPhone 7 (PRODUCT)RED Special Edition (128 GB) (MPRL2TU/A),4.7 İnç,128 GB,2 GB,44puan,1960 mAh,Tek Hat,Yok,12 MP,Var,60 Hz,iOS,Var,
300,"Apple iPhone 7 Plus (32 GB) (MNQQ2TU/A, MNQP2TU/A, MNQM2TU/A, MNQN2TU/A, MQU72TU/A)",5.5 İnç,32 GB,3 GB,44puan,2900 mAh,Tek Hat,Yok,12 MP,Var,60 Hz,iOS,Var,"16.170,00"
301,"Apple iPhone 7 (128 GB) (MN922TU/A, MN952TU/A, MN932TU/A, MN962TU/A, MN942TU/A)",4.7 İnç,128 GB,2 GB,44puan,1960 mAh,Tek Hat,Yok,12 MP,Var,60 Hz,iOS,Var,"12.999,00"
302,Xiaomi Mi 5 Pro (128 GB),5.15 İnç,128 GB,4 GB,44puan,3000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
303,OnePlus 3 (A3003),5.5 İnç,64 GB,6 GB,44puan,3000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
304,Vivo Y20 (V2027),6.51 İnç,64 GB,4 GB,44puan,5000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"3.751,96"
305,HTC 10,5.2 İnç,32 GB,4 GB,44puan,3000 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
306,Xiaomi Redmi 8 (64 GB),6.22 İnç,64 GB,4 GB,44puan,5000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,"4.049,36"
307,Samsung Galaxy A40 (SM-A405F/DS),5.9 İnç,64 GB,4 GB,44puan,3100 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
308,Samsung Galaxy S6 Edge (64 GB) (SM-G925F),5.1 İnç,64 GB,3 GB,44puan,2600 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
309,Xiaomi Redmi Note 5 (64 GB / 6 GB),5.99 İnç,64 GB,6 GB,44puan,4000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
310,Honor 8X (128 GB),6.5 İnç,128 GB,4 GB,44puan,3750 mAh,Çift Hat,Yok,20 MP,Var,60 Hz,Android,,
311,Samsung Galaxy A04 (128 GB),6.5 İnç,128 GB,4 GB,44puan,5000 mAh,Çift Hat,Var,50 MP,Yok,60 Hz,Android,Yok,"4.410,00"
312,Samsung Galaxy S6 (64 GB) (SM-G920F),5.1 İnç,64 GB,3 GB,44puan,2550 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
313,Infinix Hot 10 (X682C),6.78 İnç,64 GB,4 GB,44puan,5200 mAh,Çift Hat,Yok,16 MP,Var,60 Hz,Android,Yok,
314,LG G5 Dual (Çift Hat) (H860),5.3 İnç,32 GB,4 GB,44puan,2800 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
315,LG G5 (H850),5.3 İnç,32 GB,4 GB,44puan,2800 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,"3.999,00"
316,Infinix Hot 11 Play (128 GB) (X688B),6.82 İnç,128 GB,4 GB,44puan,6000 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,"3.799,00"
317,Nokia 7.1,5.84 İnç,64 GB,4 GB,44puan,3060 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
318,Asus Zenfone Max Pro M1 (ZB602KL),5.99 İnç,64 GB,4 GB,44puan,5000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,
319,Vivo Y21 (V2111),6.51 İnç,64 GB,4 GB,43puan,5000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"3.999,00"
320,Vivo Y16 (4 GB / 128 GB),6.51 İnç,128 GB,4 GB,43puan,5000 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,"6.299,00"
321,Xiaomi Redmi Note 6 Pro (4 GB / 64 GB),6.26 İnç,64 GB,4 GB,43puan,4000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
322,Samsung Galaxy S6 Edge Plus (SM-G928C),5.7 İnç,32 GB,4 GB,43puan,3000 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
323,Honor 8X (JSN-L21),6.5 İnç,64 GB,4 GB,43puan,3750 mAh,Çift Hat,Yok,20 MP,Var,60 Hz,Android,Var,
324,Infinix S5 Pro,6.53 İnç,128 GB,6 GB,43puan,4000 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,Yok,"3.955,05"
325,Samsung Galaxy A7 (2018) (64 GB / Çift Hat),6.0 İnç,64 GB,4 GB,43puan,3300 mAh,Çift Hat,Yok,24 MP,Var,60 Hz,Android,Yok,"4.299,00"
326,Samsung Galaxy A7 (2018) (SM-A750F),6.0 İnç,64 GB,4 GB,43puan,3300 mAh,Tek Hat,Yok,24 MP,Var,60 Hz,Android,Yok,"4.409,02"
327,Huawei P9 Plus (VIE-L29),5.5 İnç,64 GB,4 GB,43puan,3400 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
328,Samsung Galaxy M20 (Çift Hat / 64 GB),6.3 İnç,64 GB,4 GB,43puan,5000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,
329,Vivo Y21A,6.51 İnç,64 GB,4 GB,43puan,5000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"5.642,01"
330,Casper VIA A4 (128 GB),6.3 İnç,128 GB,6 GB,43puan,3950 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,
331,HTC 10 evo (32 GB),5.5 İnç,32 GB,3 GB,43puan,3200 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
332,Samsung Galaxy Note 5 (32 GB / Tek Hat) (SM-N920C),5.7 İnç,32 GB,4 GB,43puan,3000 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
333,Samsung Galaxy A7 (2017) (Çift Hat) (SM-A720F/DS),5.7 İnç,32 GB,3 GB,43puan,3600 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
334,Samsung Galaxy A7 (2017) (Tek Hat) (SM-A720F),5.7 İnç,32 GB,3 GB,43puan,3600 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
335,Tecno Pova Neo,6.8 İnç,64 GB,4 GB,43puan,6000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"3.850,00"
336,LeEco Le Max 2,5.7 İnç,64 GB,6 GB,43puan,3100 mAh,Çift Hat,Var,21 MP,Var,60 Hz,Android,Var,
337,Oukitel C21,6.4 İnç,64 GB,4 GB,43puan,4000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,
338,Elephone E10,6.5 İnç,64 GB,4 GB,43puan,4000 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,Var,"3.750,00"
339,Xiaomi Redmi Note 5 Pro (6 GB),5.99 İnç,64 GB,6 GB,43puan,4000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
340,Xiaomi Redmi Note 5 (64 GB / 4 GB),5.99 İnç,64 GB,4 GB,43puan,4000 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
341,Xiaomi Mi Max 2 (64 GB),6.44 İnç,64 GB,4 GB,43puan,5300 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
342,Samsung Galaxy Note 5 (32 GB / Çift Hat) (SM-N920CD),5.7 İnç,32 GB,4 GB,43puan,3000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
343,Lenovo P2,5.5 İnç,32 GB,4 GB,43puan,5100 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Var,
344,Oppo F9,6.3 İnç,64 GB,6 GB,43puan,3500 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Yok,
345,Umidigi One Pro,5.9 İnç,64 GB,4 GB,43puan,3250 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
346,Poco C40 (32 GB),6.71 İnç,32 GB,3 GB,42puan,6000 mAh,Çift Hat,Var,13 MP,Var,60 Hz,Android,Yok,"3.299,00"
347,Xiaomi Mi 6X (64 GB / 6 GB),5.99 İnç,64 GB,6 GB,42puan,3010 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
348,Tecno Spark 8T (KG6p),6.6 İnç,64 GB,4 GB,42puan,5000 mAh,Çift Hat,Yok,50 MP,Var,60 Hz,Android,Yok,"3.838,00"
349,Infinix S5 (128 GB / 6 GB) (X652),6.6 İnç,128 GB,6 GB,42puan,4000 mAh,Çift Hat,Yok,16 MP,Var,60 Hz,Android,Yok,
350,Meizu X8 (64 GB),6.15 İnç,64 GB,4 GB,42puan,3210 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Yok,
351,Xiaomi Redmi 9C (128 GB),6.53 İnç,128 GB,4 GB,42puan,5000 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,"4.620,00"
