,Ürün,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
40,Lenovo Vibe X2,5.0 İnç,32 GB,2 GB,24puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
41,Samsung Galaxy J4+ Plus (16 GB / Çift Hat),6.0 İnç,16 GB,2 GB,24puan,3300 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
42,Samsung Galaxy J4+ Plus (SM-J415F),6.0 İnç,16 GB,2 GB,24puan,3300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,"4.130,00"
43,ZTE Nubia Z9 Mini,5.0 İnç,16 GB,2 GB,24puan,2900 mAh,,Yok,13 MP,Yok,60 Hz,Android,,
44,General Mobile Discovery Elite Plus,5.2 İnç,32 GB,2 GB,24puan,2700 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
45,Samsung Galaxy E7 Duos (Çift Hat) (SM-E700H/DS),5.5 İnç,16 GB,2 GB,24puan,2950 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
46,Türk Telekom Stylus 3 (Tek Hat / 2 GB) (M400Y),5.7 İnç,16 GB,2 GB,24puan,3200 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
47,Vodafone Smart Ultra 7,5.5 İnç,16 GB,2 GB,24puan,2960 mAh,Tek Hat,Var,13 MP,Yok,60 Hz,Android,,
48,Samsung Galaxy S3 (32 GB) (GT-I9300),4.8 İnç,32 GB,1 GB,24puan,2100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
49,LG Stylus 3 (Çift Hat / 3 GB) (M400DK),5.7 İnç,16 GB,3 GB,24puan,3200 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
50,Asus ZenFone 2 Laser (5.5 İnç / 1.5 GHz / 3 GB) (ZE551KL),5.5 İnç,16 GB,3 GB,24puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
51,Honor 7S (DUA-L22),5.45 İnç,16 GB,2 GB,24puan,3020 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,"3.840,64"
52,Meizu MX4 (16 GB),5.36 İnç,16 GB,2 GB,24puan,3100 mAh,Tek Hat,Yok,20.7 MP,Yok,60 Hz,Android,Yok,
53,General Mobile GM 9 Go Dual,5.5 İnç,16 GB,1 GB,24puan,3500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
54,General Mobile GM 9 Go,5.5 İnç,16 GB,1 GB,24puan,3500 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,"2.898,00"
55,Asus ZenFone 2 Laser (6.0 İnç / 1.5 GHz / 2 GB) (ZE601KL),6.0 İnç,16 GB,2 GB,24puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
56,Motorola Moto G (2015) (16 GB),5.0 İnç,16 GB,2 GB,24puan,2470 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
57,Samsung Galaxy A7 Duos (Çift Hat) (SM-A700H),5.5 İnç,16 GB,2 GB,24puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
58,Alcatel 3L (5034D),5.5 İnç,16 GB,2 GB,24puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
59,Samsung Galaxy J7 (4G / Tek Hat) (SM-J700F),5.5 İnç,16 GB,1.5 GB,24puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
60,Vestel Venus E4,5.45 İnç,16 GB,2 GB,24puan,2900 mAh,Tek Hat,Var,13 MP,Var,60 Hz,Android,Yok,
61,LG Stylus 3 (Çift Hat / 2 GB),5.7 İnç,16 GB,2 GB,24puan,3200 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,"5.750,00"
62,Samsung Galaxy J7 (4G / Çift Hat) (SM-J700F/DS),5.5 İnç,16 GB,1.5 GB,24puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
63,Lenovo K5 Plus (A6020a46),5.0 İnç,16 GB,2 GB,24puan,2750 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
64,Casper VIA V9,5.0 İnç,16 GB,2 GB,24puan,2500 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
65,Huawei Y6 2018 (ATU-L21),5.7 İnç,16 GB,2 GB,24puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,"2.799,00"
66,Honor 7A (16 GB) (AUM-L29),5.7 İnç,16 GB,2 GB,24puan,3000 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
67,Meizu m1 note (16 GB),5.5 İnç,16 GB,2 GB,24puan,3140 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
68,Samsung Galaxy J3 Pro 2016 (SM-J3110),5.0 İnç,16 GB,2 GB,24puan,2600 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
69,Lenovo S90 Dual (Çift Hat),5.0 İnç,32 GB,2 GB,24puan,2300 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
70,Lenovo S90,5.0 İnç,32 GB,2 GB,24puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
71,Samsung Galaxy Note 3 Neo (Duos) (Çift Hat) (SM-N7502),5.5 İnç,16 GB,2 GB,24puan,3100 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
72,Vestel Venus V3 5580T (Tek Hat),5.5 İnç,16 GB,3 GB,24puan,3000 mAh,Tek Hat,Yok,16 MP,Yok,60 Hz,Android,Yok,
73,Vestel Venus V3 5580 (Çift Hat),5.5 İnç,16 GB,3 GB,24puan,3000 mAh,Çift Hat,Yok,16 MP,Yok,60 Hz,Android,Yok,
74,Vestel Venus V3 5580 (Tek Hat),5.5 İnç,16 GB,3 GB,24puan,3000 mAh,Tek Hat,Yok,16 MP,Yok,60 Hz,Android,Yok,
75,HTC Butterfly,5.0 İnç,16 GB,2 GB,24puan,2020 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
76,TP-Link Neffos C5 Max,5.5 İnç,16 GB,2 GB,24puan,3045 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
77,Lenovo Vibe Z2,5.5 İnç,32 GB,2 GB,24puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
78,Samsung Galaxy S5 mini (4G / Tek Hat) (SM-G800F),4.5 İnç,16 GB,1.5 GB,24puan,2100 mAh,Tek Hat,Yok,8 MP,Var,60 Hz,Android,Var,
79,Samsung Galaxy A5 (Tek Hat / 4G) (SM-A500Y),5.0 İnç,16 GB,2 GB,23puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
80,Samsung Galaxy A5 (Tek Hat / 4G) (SM-A500F),5.0 İnç,16 GB,2 GB,23puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
81,"Apple iPhone 6 (16 GB) (MG482TU/A, MG472TU/A)",4.7 İnç,16 GB,1 GB,23puan,1800 mAh,Tek Hat,Yok,8 MP,Var,60 Hz,iOS,Var,"1.199,00"
82,Samsung Galaxy J5 (2016) (SM-J510F),5.2 İnç,16 GB,2 GB,23puan,3100 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
83,Apple iPhone 5s (64 GB),4.0 İnç,64 GB,1 GB,23puan,1560 mAh,Tek Hat,Yok,8 MP,Var,60 Hz,iOS,Yok,
84,Nokia Lumia 830 (RM-984),5.0 İnç,16 GB,1 GB,23puan,2200 mAh,Tek Hat,Yok,10 MP,Yok,60 Hz,Windows Phone,Var,
85,LG Optimus G (E975),4.7 İnç,32 GB,2 GB,23puan,2100 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
86,Samsung Galaxy Note 3 Neo (4G / Tek Hat) (SM-N7505),5.5 İnç,16 GB,2 GB,23puan,3100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
87,Samsung Galaxy Note 3 Neo (Tek Hat) (SM-N7500Q),5.5 İnç,16 GB,2 GB,23puan,3100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
88,Nokia Lumia 920 (RM-821),4.5 İnç,32 GB,1 GB,23puan,2000 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Windows Phone,Var,
89,Samsung Galaxy J5 Prime (Tek Hat / 16 GB) (SM-G570F),5.0 İnç,16 GB,2 GB,23puan,2400 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,"5.959,00"
90,Huawei Y5 Prime 2018,5.45 İnç,16 GB,2 GB,23puan,3020 mAh,,Yok,13 MP,Yok,60 Hz,Android,Yok,
91,TP-Link Neffos C9A (TP706A),5.45 İnç,16 GB,2 GB,23puan,3020 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
92,Asus ZenFone 2 Laser (6.0 İnç / 1.5 GHz / 3 GB) (ZE600KL),6.0 İnç,16 GB,3 GB,23puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
93,HTC Desire 826 dual sim,5.5 İnç,16 GB,2 GB,23puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
94,HTC Desire 826,5.5 İnç,16 GB,2 GB,23puan,2600 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,,
95,Samsung Galaxy J5 Prime (Çift Hat / 16 GB) (SM-G570F/DS),5.0 İnç,16 GB,2 GB,23puan,2400 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
96,Lenovo Vibe S1 Lite,5.0 İnç,16 GB,2 GB,23puan,2800 mAh,,Yok,13 MP,Yok,60 Hz,Android,Yok,
97,LG Stylus 2 (Çift Hat) (LGK520),5.7 İnç,16 GB,1.5 GB,23puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
98,LG Stylus 2 (Tek Hat) (K520),5.7 İnç,16 GB,1.5 GB,23puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
99,Samsung Galaxy J5 Duos (Çift Hat) (SM-J500H),5.0 İnç,8 GB,1.5 GB,23puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
100,Samsung Galaxy K zoom (SM-C111),4.8 İnç,8 GB,2 GB,23puan,2430 mAh,Tek Hat,Yok,20.7 MP,Yok,60 Hz,Android,Var,
101,Nokia Lumia 925 (RM-892),4.5 İnç,16 GB,1 GB,23puan,2000 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Windows Phone,Var,
102,TP-Link Neffos C7 (TP910A),5.5 İnç,16 GB,2 GB,23puan,3060 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
103,Fly Quantum IQ4513,5.0 İnç,32 GB,2 GB,23puan,2150 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
104,Excon ERA K8,5.5 İnç,16 GB,3 GB,23puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
105,Xiaomi Mi 4i,5.0 İnç,16 GB,2 GB,23puan,3120 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
106,Samsung Galaxy S5 mini (Tek Hat) (SM-G800H),4.5 İnç,16 GB,1.5 GB,23puan,2100 mAh,Tek Hat,Yok,8 MP,Var,60 Hz,Android,Yok,
107,Huawei Y5 2018 (DRA-L21),5.45 İnç,16 GB,2 GB,23puan,3020 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
108,Sony Xperia E5 (F3311),5.0 İnç,16 GB,1.5 GB,23puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
109,LG K10 (2 GB / Tek Hat) (K430),5.3 İnç,16 GB,2 GB,23puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
110,Xiaomi Redmi 5A,5.0 İnç,16 GB,2 GB,23puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
111,Nokia 3,5.0 İnç,16 GB,2 GB,23puan,2630 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
112,Casper VIA M1 (16 GB),5.2 İnç,16 GB,3 GB,23puan,2900 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
113,Huawei Ascend G7 (G7-L01),5.5 İnç,16 GB,2 GB,23puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
114,HTC Desire 820s Dual Sim,5.5 İnç,16 GB,2 GB,23puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
115,General Mobile Discovery Elite Lite (2 GB / 16 GB),5.5 İnç,16 GB,2 GB,23puan,2500 mAh,Tek Hat,Yok,16 MP,Yok,60 Hz,Android,Var,
116,ZTE Blade A910,5.5 İnç,16 GB,2 GB,23puan,2540 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
117,Meizu m3,5.0 İnç,16 GB,2 GB,23puan,2870 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
118,Prestigio MultiPhone 7500 (2 GB / 32 GB) (PAP750032GB),5.0 İnç,32 GB,2 GB,23puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
119,Lenovo A7000 Turbo,5.5 İnç,16 GB,2 GB,23puan,2900 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
120,Nokia Lumia 735 (RM-1039),4.7 İnç,8 GB,1 GB,23puan,2220 mAh,Tek Hat,Yok,6.7 MP,Yok,60 Hz,Windows Phone,Var,
121,Lenovo Vibe P1m (Çift Hat),5.0 İnç,16 GB,2 GB,23puan,4000 mAh,Çift Hat,Var,8 MP,Yok,60 Hz,Android,Yok,
122,Lenovo Vibe P1m (Tek Hat),5.0 İnç,16 GB,2 GB,23puan,4000 mAh,Tek Hat,Var,8 MP,Yok,60 Hz,Android,Yok,
123,Lenovo K3 Note,5.5 İnç,16 GB,2 GB,23puan,2900 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
124,Asus ZenFone 2 Laser (6.0 İnç / 1.5 GHz / 2 GB) (ZE600KL),6.0 İnç,16 GB,2 GB,23puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
125,Samsung Galaxy On5 (2016) (SM-G5520/G5528),5.0 İnç,16 GB,2 GB,23puan,2600 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Var,
126,Sony Xperia ZR (C5503),4.55 İnç,8 GB,2 GB,23puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
127,Samsung Galaxy S5 mini Duos (Çift Hat) (SM-G800H/DS),4.5 İnç,16 GB,1.5 GB,23puan,2100 mAh,Çift Hat,Yok,8 MP,Var,60 Hz,Android,Yok,
128,Samsung Galaxy On5 (2016) (SM-G5510),5.0 İnç,16 GB,2 GB,23puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
129,Casper VIA V8,5.0 İnç,32 GB,2 GB,23puan,2350 mAh,Tek Hat,Yok,16 MP,Yok,60 Hz,Android,Yok,
130,LG K10 (1.5 GB / Çift Hat) (K430DS),5.3 İnç,16 GB,1.5 GB,23puan,2300 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,"1.999,00"
131,BlackBerry Z30,5.0 İnç,16 GB,2 GB,23puan,2880 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,BlackBerry OS,Var,
132,Samsung Galaxy J3 Pro (16 GB / Çift Hat) (SM-J330F/DS),5.0 İnç,16 GB,2 GB,23puan,2400 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
133,Samsung Galaxy J3 Pro (16 GB / Tek Hat) (SM-J330F),5.0 İnç,16 GB,2 GB,23puan,2400 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,,
134,LG K10 (2017) (Çift Hat) (M250),5.3 İnç,16 GB,2 GB,22puan,2800 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,"3.586,46"
135,Samsung Galaxy Note II (16 GB) (GT-N7100),5.5 İnç,16 GB,2 GB,22puan,3100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
136,Piranha IQ Dreams,5.0 İnç,32 GB,3 GB,22puan,2350 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
137,Lenovo P70,5.0 İnç,16 GB,2 GB,22puan,4000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
138,Nokia 2 (TA 1007),5.0 İnç,8 GB,1 GB,22puan,4100 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
139,Huawei P8 Lite (Çift Hat),5.0 İnç,16 GB,2 GB,22puan,2200 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
140,Huawei P8 Lite (Tek Hat) (ALE-L21),5.0 İnç,16 GB,2 GB,22puan,2200 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
141,Ultron X-1 (4.5G),5.0 İnç,16 GB,2 GB,22puan,2800 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
142,Samsung Galaxy J3 (2017) (16 GB / Çift Hat),5.0 İnç,16 GB,2 GB,22puan,2400 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
143,LG K8 (2017) (Çift Hat) (M200),5.0 İnç,16 GB,1.5 GB,22puan,2500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,"1.899,00"
144,LG K10 (2017) (Tek Hat) (M250Y),5.3 İnç,16 GB,2 GB,22puan,2800 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,"3.798,00"
145,ZTE Blade V9 Vita,5.45 İnç,16 GB,2 GB,22puan,3200 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,,
146,Vodafone Smart N8 (VFD 610),5.0 İnç,16 GB,1.5 GB,22puan,2400 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Var,
147,Samsung Galaxy E5 (4G / Tek Hat) (SM-E500F),5.0 İnç,16 GB,1.5 GB,22puan,2400 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
148,LG G4 Beat (H735),5.2 İnç,8 GB,1.5 GB,22puan,2300 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
149,Xiaomi Redmi 4A (16 GB),5.0 İnç,16 GB,2 GB,22puan,3120 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
150,LG Class,5.0 İnç,16 GB,2 GB,22puan,2050 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
151,Samsung Galaxy A5 (Tek Hat) (SM-A500H),5.0 İnç,16 GB,2 GB,22puan,2300 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
152,Huawei Y6II (CAM-L21),5.5 İnç,16 GB,2 GB,22puan,3000 mAh,,Yok,13 MP,Yok,60 Hz,Android,Yok,
153,Alcatel Idol X+ (6043D),5.0 İnç,16 GB,2 GB,22puan,2500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
154,Samsung Galaxy J4 Core (SM-J410F),6.0 İnç,16 GB,1 GB,22puan,3300 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,
155,HTC Desire 728 (Tek Hat / 4G),5.5 İnç,16 GB,2 GB,22puan,2800 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
156,Türk Telekom TT175,5.5 İnç,16 GB,2 GB,22puan,3000 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
157,HTC Desire 728 dual SIM (Çift Hat / 4G),5.5 İnç,16 GB,2 GB,22puan,2800 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
158,HTC Desire 820G+ dual sim,5.5 İnç,16 GB,1 GB,22puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
159,Microsoft Lumia 650 Dual SIM,5.0 İnç,16 GB,1 GB,22puan,2000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Windows,Var,
160,Microsoft Lumia 650,5.0 İnç,16 GB,1 GB,22puan,2000 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Windows,Var,
