,Ürün,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
0,Lenovo K6 (Tek Hat) (K33a48),5.0 İnç,16 GB,2 GB,25puan,3000 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
1,Samsung Galaxy A7 Duos (4G / Çift Hat) (SM-A700FD),5.5 İnç,16 GB,2 GB,25puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
2,Vodafone Smart 6 (VF-995N),5.5 İnç,16 GB,2 GB,25puan,3000 mAh,Tek Hat,Var,13 MP,Yok,60 Hz,Android,Var,
3,General Mobile GM 6 ds (Çift Hat),5.5 İnç,16 GB,2 GB,25puan,3500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
4,General Mobile GM 6 ds,5.5 İnç,16 GB,2 GB,25puan,3500 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
5,Huawei G7 Plus,5.5 İnç,32 GB,3 GB,25puan,3000 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
6,Lenovo EveryPad 3 (PB1-770M),6.8 İnç,32 GB,2 GB,25puan,3500 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
7,HTC One (E8),5.0 İnç,16 GB,2 GB,25puan,2600 mAh,,Yok,13 MP,Yok,60 Hz,Android,Var,
8,LG K22,6.2 İnç,32 GB,2 GB,25puan,3000 mAh,,Yok,13 MP,Yok,60 Hz,Android,Yok,
9,HTC Desire 828 Dual SIM,5.5 İnç,16 GB,2 GB,25puan,2800 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
10,HTC One Max (803s),5.9 İnç,16 GB,2 GB,25puan,3300 mAh,Tek Hat,Yok,4 MP,Var,60 Hz,Android,Var,
11,Sony Xperia C4 (E5303),5.5 İnç,16 GB,2 GB,25puan,2600 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
12,Teknosa Preo P2,5.5 İnç,16 GB,2 GB,25puan,3150 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
13,LG X cam (LG-K580),5.2 İnç,16 GB,2 GB,25puan,2520 mAh,,Yok,13 MP,Yok,60 Hz,Android,Var,
14,LG K11 Prime (LMX410Z),5.3 İnç,16 GB,2 GB,25puan,3000 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
15,Samsung Galaxy Note II (32 GB) (GT-N7100),5.5 İnç,32 GB,2 GB,25puan,3100 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
16,Samsung Galaxy J4 (Çift Hat) (SM-J400F/DS),5.5 İnç,16 GB,2 GB,25puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
17,Samsung Galaxy J4 (SM-J400F),5.5 İnç,16 GB,2 GB,25puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
18,LG Stylus 2 Plus (Çift Hat) (K535),5.7 İnç,16 GB,3 GB,25puan,3000 mAh,Çift Hat,Yok,16 MP,Yok,60 Hz,Android,,
19,LG Stylus 2 Plus (Tek Hat) (K530),5.7 İnç,16 GB,3 GB,25puan,3000 mAh,Tek Hat,Yok,16 MP,Yok,60 Hz,Android,,
20,Sony Xperia M4 Aqua (E2303),5.0 İnç,8 GB,2 GB,25puan,2400 mAh,,Yok,13 MP,Yok,60 Hz,Android,Var,
21,Meizu m2 note,5.5 İnç,16 GB,2 GB,25puan,3100 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
22,TCL L7 (5002H),5.5 İnç,32 GB,2 GB,25puan,3000 mAh,Çift Hat,Yok,8 MP,Yok,60 Hz,Android,Yok,"2.155,02"
23,Xiaomi Redmi 4A (32 GB),5.0 İnç,32 GB,2 GB,25puan,3120 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
24,LG Optimus G Pro (16 GB) (E986),5.5 İnç,16 GB,2 GB,25puan,3140 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
25,LG Nexus 5 (16 GB) (D821),4.95 İnç,16 GB,2 GB,25puan,2300 mAh,Tek Hat,Yok,8 MP,Yok,60 Hz,Android,Var,
26,Samsung Galaxy J7 (Çift Hat) (SM-J700H),5.5 İnç,16 GB,1.5 GB,25puan,3000 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
27,Nokia 2.2,5.71 İnç,16 GB,2 GB,25puan,3000 mAh,,Yok,13 MP,Yok,60 Hz,Android,Yok,"2.199,00"
28,Samsung Galaxy E7 (SM-E700H),5.5 İnç,16 GB,2 GB,25puan,2950 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
29,HTC Desire 825,5.5 İnç,16 GB,2 GB,25puan,2700 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
30,HTC One E9,5.5 İnç,16 GB,2 GB,25puan,2800 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,,
31,Vestel Venus V3 5070,5.0 İnç,32 GB,2 GB,25puan,2100 mAh,Tek Hat,Var,13 MP,"Ekran Dayanıklılığı


Corning Gorilla Glass 3",60 Hz,Android,Yok,
32,Samsung Galaxy J5 (2016) (Çift Hat) (SM-J510F/DS),5.2 İnç,16 GB,2 GB,25puan,3100 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
33,Doogee X95,6.52 İnç,16 GB,2 GB,25puan,4350 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
34,Xiaomi Redmi Note 5A,5.5 İnç,16 GB,2 GB,25puan,3080 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
35,TP-Link Neffos X1 (32 GB),5.0 İnç,32 GB,3 GB,25puan,2250 mAh,Çift Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
36,Huawei GR5 (KII-L21),5.5 İnç,16 GB,2 GB,25puan,3000 mAh,Tek Hat,Yok,13 MP,Var,60 Hz,Android,Yok,
37,Sony Xperia C4 Dual (Çift Hat),5.5 İnç,16 GB,2 GB,25puan,2600 mAh,Çift Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
38,HTC Desire 820,5.5 İnç,16 GB,2 GB,24puan,2600 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Var,
39,Samsung Galaxy J7 Nxt (SM-J701F),5.5 İnç,16 GB,2 GB,24puan,3000 mAh,Tek Hat,Yok,13 MP,Yok,60 Hz,Android,Yok,
